Indicator Type,File Name,File Hash,IP,URL,Mutex,Description
File Hash,militarizationofsouthchinasea_1.pps,53a30dfd90bd1208dcfe534ccd0b798d629aa989ccaeae952384cfe9ecb17369,,,,
File Hash,militarizationofsouthchinasea_2.pps,9d0d420c696083023300545754f0428549bb62f33c6e492eb4ace8ce95ce8af0,,,,
File Hash,MilitaryReforms1.pps,ccbbf41f7e385f511ec25925cdc177bb23a3106974fa1c61fdfea4af70489b36,,,,
File Hash,MilitaryReforms2.pps,09d7cd078a46a33750b002594eb7340af55a1cefe5f4451a8bdfcd6af97449bf,,,,
File Hash,MilReforms_1.pps,c126471d35f0fcff4ebafd8fb331e328b67e07312fbaa60c8a131e318b41a839,,,,
File Hash,MilReforms_2.pps,c2d39a5ed25caf84d5ce68375e420b6445aff0c63a7f820ae6a3d0e24eb5e161,,,,
File Hash,my_lovely_pics_3.pps,39cf8b7bbceac5d150cc9fafbf2d7492d353771ec40919d1777fba8d6d2da2b4,,,,
File Hash,my_lovely_pics_6.pps,cc810280206c3ee96f88840d6e23bd2c849bfb48f4e97c2ea1c8ef47ce06ba9b,,,,
File Hash,my_photos_3.pps,b4487148d05bc4acc932b47c0a01371c459eea12fc7fd4f21af127dee2f619f4,,,,
File Hash,my_photos_6.pps,1c60523b5c2cfc176549d4a8c14c2759c504cce23da86cf3dcb99c21ddf30f5a,,,,
File Hash,nail_art_3.pps,48219520a01ef9ec5f499cdb3f3ad8e9899b0c15800acb66cb0df5fe74f49cce,,,,
File Hash,nail_art_6.pps,77a43ddd5b90b25b189f970ec76224085f7b7210922e611ed38905d4190d7cc3,,,,
File Hash,netflix1.pps,88e2e7df29450f673081161e105b561f67bba65ce00d12da90b26149c2960631,,,,
File Hash,netflix2.pps,2f6ed134adf8d29dd9e25b8f8f863389742dd5ff6d9104329c2fecb66b9e1604,,,,
File Hash,Obama_Gift_China_1.pps,77b1ea1a200a17f8e14a8b6471ee6c4921c8c6b59026ce799ecaf7edd54b15e8,,,,
File Hash,Obama_Gift_China_2.pps,21b2f9c134a8fe2f021884852b41eed5739c791a19f0145a5a665015cede543b,,,,
